City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
243,Qurayyat,SA,78.98,clear sky,31.3318,37.3428,Resorts Kandel
245,Alyangula,AU,76.73,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
247,Sampit,ID,83.16,clear sky,-2.5333,112.95,Aquarius Boutique Hotel Sampit
248,Amahai,ID,82.06,broken clouds,-3.3333,128.9167,HOTEL ISABELA
250,Tiznit,MA,84.83,broken clouds,29.5833,-9.5,Auberge Tazerzete
252,Mantua,IT,78.04,clear sky,45.1667,10.7833,Hotel la Favorita
255,Hithadhoo,MV,81.77,overcast clouds,-0.6,73.0833,"Shangri-La's Villingili Resort & Spa, Maldives"
256,Gizo,SB,84.13,few clouds,-8.103,156.8419,Imagination Island
257,Fairfax,US,82.72,few clouds,38.8501,-77.3497,Fairfax Marriott at Fair Oaks
261,Palmer,US,81.25,scattered clouds,42.1584,-72.3287,Wilbraham Inn
265,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Grand Osiyo Plaza
267,Bastia,FR,80.29,clear sky,42.6667,9.3333,Sud Hôtel
269,Hambantota,LK,77.34,moderate rain,6.1241,81.1185,Palm Paradise Cabanas & Villas Beach Resort Tangalle
270,Port Antonio,JM,84.11,clear sky,18.18,-76.4612,The Trident Hotel
271,Nador,MA,77.79,clear sky,35.174,-2.9287,Hôtel La Giralda
273,Lorengau,PG,83.7,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
277,Umm Kaddadah,SD,80.42,scattered clouds,13.6017,26.6876,
281,Huadian,CN,75.92,overcast clouds,42.9633,126.7478,红林宾馆
282,Japura,ID,79.63,overcast clouds,-0.3167,102.35,TRI SUSANTO
289,Wad Madani,SD,80.01,overcast clouds,14.4012,33.5199,فندق يوغسلافيا
290,Denpasar,ID,79.47,overcast clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
291,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Hilton Barbados Resort
292,Totolapa,MX,78.24,overcast clouds,18.5167,-96.1833,Hotel Marsella
293,Siva,EG,77.61,clear sky,29.2041,25.5195,Talist Siwa ؛ فندق تاليست
295,Zhenlai,CN,82.04,broken clouds,45.8495,123.2973,Jinjiang Hotel
296,Timbiqui,CO,75.67,light rain,2.7717,-77.6654,Hotel Emperador Guapí
299,Sinnamary,GF,77.02,broken clouds,5.3833,-52.95,Lodge TAKINI4 Guesthouse KOUROU FGU
306,Abu Samrah,SY,75.85,clear sky,35.3029,37.1841,منزال محمد الخالد
307,Dingzhou,CN,80.71,clear sky,38.5131,114.9956,宜家时尚宾馆
310,Cam Ranh,VN,80.56,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
317,Saint Anthony,US,82.92,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
318,Papara,BR,77.4,few clouds,-3.9839,-38.7273,Hotel Aeroporto Montese Star
325,Road Town,VG,82.44,scattered clouds,18.4167,-64.6167,Frenchman's Reef & Morning Star Marriott Beach Resort
327,Akdepe,TM,80.69,clear sky,42.0551,59.3788,Sarar oba
331,Havelock,US,82.35,few clouds,34.8791,-76.9013,Sherwood Motel
332,Port Blair,IN,79.97,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
333,Yarada,IN,84.38,overcast clouds,17.65,83.2667,Novotel Visakhapatnam Varun Beach
334,Kloulklubed,PW,79.3,heavy intensity rain,7.0419,134.2556,Palau Royal Resort
339,Lahij,YE,83.48,overcast clouds,13.1667,44.5833,فندق فايف ماكس السياحي
340,Tual,ID,79.77,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
342,Najran,SA,79.45,overcast clouds,17.4924,44.1277,Daniel Hotel Apartments 1 Najran
343,Tahta,EG,84.63,clear sky,26.7693,31.5021,فندق الزيات
345,Ijero,NG,76.86,scattered clouds,6.4819,3.3803,Esporta Suites Yaba
350,Isangel,VU,81.18,broken clouds,-19.55,169.2667,Volcano Island Paradise Bungalows
352,Aquin,HT,79.72,scattered clouds,18.2833,-73.4,Suites la Colline
362,Kulhudhuffushi,MV,79.81,overcast clouds,6.6221,73.07,The Barefoot Eco Hotel
365,Mae Hong Son,TH,77.14,mist,19.3003,97.9685,Fern Resort
367,Derbent,RU,76.15,scattered clouds,42.0678,48.2899,Hotel Moryana
375,Lethbridge,CA,80.71,few clouds,49.7,-112.8186,Days Inn by Wyndham Lethbridge
379,Tautira,PF,76.93,clear sky,-17.7333,-149.15,Vanira Lodge
385,Bonfim,BR,76.6,overcast clouds,3.0833,-59.95,Savannah Inn
396,Luwuk,ID,83.39,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
397,Oda,JP,80.94,broken clouds,35.1833,132.5,Sahimeno Hotel
403,Saint-Louis,SN,83.73,light rain,16.3333,-15.0,Auberge Du Tékrour
404,Daura,NG,76.15,light rain,11.5538,11.4085,Corpers Lodge
405,Florence,IT,77.58,clear sky,43.7667,11.25,Hotel Nuova Italia
410,Korla,CN,77.59,broken clouds,41.7597,86.1469,Gulisitan Hotel
414,Merauke,ID,78.64,overcast clouds,-8.4667,140.3333,Swiss-Belhotel Merauke
418,Vanimo,PG,81.93,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
419,Kongoussi,BF,75.33,overcast clouds,13.3258,-1.5347,Hôtel La Sagesse
423,Teahupoo,PF,76.96,clear sky,-17.8333,-149.2667,HÔTEL TAHITI IA ORA BEACH RESORT
426,Kapoeta,SS,75.47,overcast clouds,4.7717,33.5903,Eastgate Hotel
427,Jalu,LY,75.18,clear sky,29.0331,21.5482,صاحبة الفخامة
430,Hamilton,US,84.0,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
431,Nabire,ID,80.55,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
432,Aginskoye,RU,75.11,overcast clouds,51.1,114.53,Кочевник
435,Diu,IN,80.15,broken clouds,20.7141,70.9822,Hotel Relax Inn
445,Half Moon Bay,US,78.87,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
446,Qingquan,CN,84.96,moderate rain,30.4511,115.2559,Caiyuan Hotel
451,Chumphon,TH,77.97,light rain,10.3333,98.8333,Thai-Myanmar Riverside Resort Ranong
452,Marzuq,YE,76.96,overcast clouds,14.4,46.4667,حصن القيهر للسلطان ناصر بن عبدالله
457,Pataskala,US,80.1,clear sky,39.9956,-82.6743,RCD RV Supercenter
459,Thinadhoo,MV,81.21,overcast clouds,0.5333,72.9333,Raffles Maldives Meradhoo Resort
462,Anamur,TR,80.11,clear sky,36.0751,32.8369,Luna Piena Beach Hotel
470,Ola,RU,75.15,overcast clouds,59.5833,151.2833,Magadan hotel
477,Monreale,IT,79.25,clear sky,38.0801,13.2885,Palazzo Ducale Suites - B&B Monreale
478,Port Moresby,PG,80.2,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
481,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Hilton Barbados Resort
482,Waldoboro,US,78.44,clear sky,44.0954,-69.3756,Le Vatout Bed & Breakfast
486,Helong,CN,75.74,broken clouds,42.5397,128.9972,Helong Hotel
488,Broome,US,76.14,broken clouds,42.2506,-75.833,Chenango Valley State Park
490,Alice Town,BS,83.16,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
492,Cayenne,GF,76.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
